"Status","Name","Duration in ms","Description"
"passed","Get User By ID using API: Get User by ID","609",""
"passed","Buy Product: Buy a SwagLabs product successfully","91377",""
"passed","Login.Login to SwagLabs Application with Correct credentials","1312",""
"passed","Login.Login to SwagLabs Application with Wrong credentials","1177",""
"passed","Get User By ID using API.Get User by ID","553",""
"passed","Buy Product.Buy a SwagLabs product successfully","91384",""
"passed","Login: Login to SwagLabs Application with Correct credentials","1311",""
"passed","Login: Login to SwagLabs Application with Wrong credentials","1177",""
